cnpj,pasta,download_individual,local_nfe,state_imported_nfe,gap_nfe,local_cte,state_imported_cte,gap_cte
59957415000109,0001_PAULICON_CONTABIL_LTDA,NAO,1,7,0,0,2,0
01384222000118,0023_ENGEMETAL_MONTAGENS_LTDA,SIM,0,30,0,0,7,0
71630800000134,0026_ITAMAMBUCA_ABC_TRANSPORTE_LTDA,NAO,0,18,0,0,45,0
01604588000155,0031_BOZZI_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,203,0,0,787,0
11405714000104,0328_SANTOSLOG_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
48584510000180,0033_PAN_METAL_INDUSTRIA_METALURGICA_LTDA,NAO,0,0,0,0,0,0
11440440000186,0337_LOCFASS_LOCACAO_E_SERVICOS_LTDA,NAO,0,0,0,0,0,0
67180224000101,0048_SIND_DAS_EMPRESAS_DE_TRANSP_DE_CARGA_DO_ABC,NAO,0,12,0,0,7,0
50147271000142,0052_AUTEL_AUTO_ELETRICA_E_COMERCIO_DE_PECAS_E_ACESSORIOS_LTDA,NAO,0,3,0,0,0,0
60140332000101,0056_TRANSPORTADORA_TITAS_LTDA,NAO,0,0,0,0,0,0
63984066000183,0058_EMME_COMERCIAL_LTDA,NAO,0,16,0,0,122,0
51129237000108,0060_TRANS-DI_TRANSPORTES_LTDA,SIM,0,214,0,0,991,0
07272709000195,0072_CIRLOG_LOGISTICA_LTDA,NAO,0,117,0,0,0,0
31624784000152,0773_ILOGIK_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,22,0,0,197,0
55765309000164,0079_FERO_TRANSPORTES_GERAIS_LTDA,NAO,0,0,0,0,68,0
07363312000109,0084_ZEUS_SISTEMAS_LTDA_-_ME,NAO,0,0,0,0,0,0
49527443000124,0090_PAULICEIA_COMERCIO_DE_PNEUS_LTDA,NAO,0,27,0,0,2,0
48602650000133,0093_REVESP_TRANSPORTES_E_SERVICOS_LTDA,NAO,0,85,0,0,440,0
36684309000195,1001_HCP9_PARTICIPACOES_LTDA,NAO,0,1,0,0,0,0
41252352000111,1002_F_R_TONIN_INTERMEDIACOES_COMERCIAIS,NAO,0,0,0,0,0,0
09082724000287,1003_DCAN_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
51129237000450,1006_TRANS-DI_TRANSPORTES_LTDA,SIM,0,292,0,0,0,0
05912214000158,1007_RAI_-_REDE_DE_ARMAZENS_INTEGRADOS_LTDA.,SIM,0,2040,0,0,74,0
33315565000117,1008_WALCAR_-_ADMINISTRADORA_DE_BENS_PROPRIOS_S/A,NAO,0,0,0,0,0,0
10713646000170,1015_TRANSROSSI_LOGISTICA_E_TRANSPORTES_LTDA,NAO,0,8,0,0,270,0
33899204001218,1016_COMTRASIL_COMERCIO_E_TRANSPORTES_LTDA,NAO,0,256,0,0,105,0
